"","x"
"impl_01",0.0407595813907063
"impl_02",0.0214651756352074
"impl_03",0.00283246005789723
"impl_04",0.00323372523276601
"impl_05",0.00959972343129138
"impl_06",0.0166328609586563
"impl_07",0.0428708641391581
"impl_08",0.0242388970589974
"impl_09",0.00537678445671485
"impl_10",0.00984554444698702
"impl_11",0.0195874488964736
"impl_12",0.00729659229536226
"impl_13",0.00673811886417827
"impl_14",0.0234677687927459
"impl_15",0.0148376028036908
"impl_16",0.0113877097832173
"impl_17",0.0139893580631147
"impl_18",0.00844468466820218
"impl_19",0.0453921119780982
"impl_20",0.035421793943661
"impl_21",0.0553311601409202
"impl_22",0.0416379945882779
"impl_23",0.009957280390808
"impl_24",0.0241297330711743
"impl_25",0.0377498444880881
"impl_26",0.00765126481867857
"impl_27",0.00472616752613345
"impl_28",0.00601297301532981
"impl_29",0.0367759133151876
"impl_30",0.0442746977995247
"impl_31",0.0114060885055937
"impl_32",0.00494490636823931
"impl_33",0.0783459414796988
"impl_34",0.00283246005789723
"impl_35",0.00893447671589534
"impl_36",0.00283246005789723
"impl_37",0.00738856205790379
"impl_38",0.00738023611700469
"impl_39",0.0132120698184763
"impl_40",0.00479957382654165
"impl_41",0.0063283777004765
"impl_42",0.00654687998942227
"impl_43",0.00721693160284827
"impl_44",0.00431493003306152
"impl_45",0.00476976669059011
"impl_46",0.0363358844504673
"impl_47",0.00283246005789723
"impl_48",0.0220881002087092
"impl_49",0.00451426788416424
"impl_50",0.0170775333994192
"impl_51",0.00971542986442144
"impl_52",0.0395298205518759
"impl_53",0.00774667664798325
"impl_54",0.00478233336680223
"impl_55",0.00559691116513343
"impl_56",0.0127352498351027
"impl_57",0.0203748259068577
"impl_58",0.00283246005789723
"impl_59",0.00524824929359056
"impl_60",0.00567030023688274
